h_Country,h_RegNumber,h_Name,h_Website,merged,matchedOn,h_IsEcommerce,import from master,import from builtwith,score,h_HasMarketingDepartment,h_NOfEmployees,HasGoogleAdsOrFacebookAds,h_Industry1,h_Industry3,Industry_n_norm,h_HasFbOrGoogle,,h_Website_Match FB||GOOGLE
DK,10280087,MILLARCO INTERNATIONAL A/S,millarco.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,69,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialised wholesale,,,,planteshop.dk
DK,35849343,NATUREBABY ApS,boobdesign.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,deepseapharma.dk
DK,14332340,TEERETAIL APS,teeshoppen.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,26,,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",,,,pearlwax.dk
DK,26864100,XL-BYG A.M.B.A,xl-byg.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,68,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialised wholesale,,,,onefone.dk
DK,34486735,WASH WORLD ApS,washworld.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,79,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,,,,hertels.dk
DK,12381239,ØSTJYSK VÅBENHANDEL A/S,ostjysk.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,51,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialised stores,,,,norr11.com
DK,32782787,Wellvita,wellvita.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,42,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hospital activities,,,,frimannbiler.dk
DK,39718626,WATERY APS,watery.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialised stores,,,,inventio.it
DK,17380894473,VANPEE A/S,vanpee.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of information and communication equipment,,,,coldjet.com
DK,19301702,VANGBY A/S,vangby.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,22,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Manufacture of general-purpose machinery,,,,byflou.com
